valuation_date,portfolio_code,isin,daily_return_bps,contribution_bps
2025-03-17,FUND_A,US0378331005,-2.35,-0.1954
2025-03-18,FUND_A,US0378331005,5.95,0.4961
2025-03-19,FUND_A,US0378331005,-35.07,-2.7315
2025-03-20,FUND_A,US0378331005,64.08,5.2915
2025-03-21,FUND_A,US0378331005,32.12,2.6157
2025-03-24,FUND_A,US0378331005,100.55,8.5282
2025-03-25,FUND_A,US0378331005,38.88,3.2678
2025-03-26,FUND_A,US0378331005,14.11,1.0907
2025-03-27,FUND_A,US0378331005,-2.91,-0.2478
2025-03-28,FUND_A,US0378331005,60.98,5.076
2025-03-31,FUND_A,US0378331005,4.85,0.3705
2025-01-02,FUND_A,US5949181045,-55.86,-4.0693
2025-01-03,FUND_A,US5949181045,-45.93,-3.4621
2025-01-06,FUND_A,US5949181045,-127.58,-8.9591
2025-01-07,FUND_A,US5949181045,81.52,6.0347
2025-01-08,FUND_A,US5949181045,87.83,6.4196
2025-01-09,FUND_A,US5949181045,-80.63,-5.5152
2025-01-10,FUND_A,US5949181045,-58.32,-4.1937
2025-01-13,FUND_A,US5949181045,-47.84,-3.3551
2025-01-14,FUND_A,US5949181045,-38.59,-2.6436
2025-01-15,FUND_A,US5949181045,27.46,1.8675
2025-01-16,FUND_A,US5949181045,19.04,1.3138
2025-01-17,FUND_A,US5949181045,17.22,1.282
2025-01-20,FUND_A,US5949181045,33.34,2.4522
2025-01-21,FUND_A,US5949181045,24.98,1.7601
2025-01-22,FUND_A,US5949181045,32.42,2.3305
2025-01-23,FUND_A,US5949181045,-95.49,-6.5956
2025-01-24,FUND_A,US5949181045,-38.48,-2.551
2025-01-27,FUND_A,US5949181045,34.46,2.4444
2025-01-28,FUND_A,US5949181045,-110.85,-7.7691
2025-01-29,FUND_A,US5949181045,82.63,6.043
2025-01-30,FUND_A,US5949181045,74.92,4.9683
2025-01-31,FUND_A,US5949181045,9.11,0.6682
2025-02-03,FUND_A,US5949181045,21.4,1.5686
2025-02-04,FUND_A,US5949181045,-18.7,-1.3832
2025-02-05,FUND_A,US5949181045,77.42,5.3679
2025-02-06,FUND_A,US5949181045,40.03,2.7169
2025-02-07,FUND_A,US5949181045,12.36,0.8991
2025-02-10,FUND_A,US5949181045,-89.87,-5.8031
2025-02-11,FUND_A,US5949181045,66.07,4.5967
2025-02-12,FUND_A,US5949181045,-50.05,-3.3868
2025-02-13,FUND_A,US5949181045,36.65,2.4708
2025-02-14,FUND_A,US5949181045,-18.23,-1.3466
2025-02-17,FUND_A,US5949181045,19.18,1.3022
2025-02-18,FUND_A,US5949181045,98.8,6.4276
2025-02-19,FUND_A,US5949181045,-93.29,-6.3535
2025-02-20,FUND_A,US5949181045,-10.72,-0.7782
2025-02-21,FUND_A,US5949181045,-59.55,-4.1383
2025-02-24,FUND_A,US5949181045,-48.65,-3.5128
2025-02-25,FUND_A,US5949181045,17.87,1.2361
2025-02-26,FUND_A,US5949181045,-49.39,-3.5626
2025-02-27,FUND_A,US5949181045,-72.03,-5.2241
2025-02-28,FUND_A,US5949181045,-45.45,-3.3257
2025-03-03,FUND_A,US5949181045,113.41,7.5609
2025-03-04,FUND_A,US5949181045,-7.71,-0.5295
2025-03-05,FUND_A,US5949181045,-41.43,-2.9473
2025-03-06,FUND_A,US5949181045,32.7,2.2165
2025-03-07,FUND_A,US5949181045,-83.71,-5.6017
2025-03-10,FUND_A,US5949181045,0.09,0.0065
2025-03-11,FUND_A,US5949181045,50.31,3.6376
2025-03-12,FUND_A,US5949181045,0.23,0.0173
2025-03-13,FUND_A,US5949181045,-24.52,-1.8185
2025-03-14,FUND_A,US5949181045,-142.93,-10.2386
2025-03-17,FUND_A,US5949181045,58.87,4.3482
2025-03-18,FUND_A,US5949181045,-2.77,-0.2012
2025-03-19,FUND_A,US5949181045,70.91,4.7178
2025-03-20,FUND_A,US5949181045,102.07,7.0586
2025-03-21,FUND_A,US5949181045,-67.31,-4.9659
2025-03-24,FUND_A,US5949181045,17.61,1.2294
2025-03-25,FUND_A,US5949181045,-71.94,-5.1541
2025-03-26,FUND_A,US5949181045,41.81,3.1642
2025-03-27,FUND_A,US5949181045,-19.73,-1.3452
2025-03-28,FUND_A,US5949181045,45.3,3.2922
2025-03-31,FUND_A,US5949181045,-41.7,-3.0027
2025-01-02,FUND_A,US46625H1005,-44.96,-2.6621
2025-01-03,FUND_A,US46625H1005,-69.12,-3.8991
2025-01-06,FUND_A,US46625H1005,-18.21,-1.069
2025-01-07,FUND_A,US46625H1005,88.5,5.0401
2025-01-08,FUND_A,US46625H1005,-140.58,-8.7717
2025-01-09,FUND_A,US46625H1005,-108.02,-6.9026
2025-01-10,FUND_A,US46625H1005,-32.27,-1.8555
2025-01-13,FUND_A,US46625H1005,-55.98,-3.3377
2025-01-14,FUND_A,US46625H1005,-91.33,-5.8907
2025-01-15,FUND_A,US46625H1005,85.95,5.6061
2025-01-16,FUND_A,US46625H1005,-50.19,-3.3386
2025-01-17,FUND_A,US46625H1005,73.48,4.586
2025-01-20,FUND_A,US46625H1005,-53.16,-3.3511
2025-01-21,FUND_A,US46625H1005,-145.74,-8.7445
2025-01-22,FUND_A,US46625H1005,30.96,1.9433
2025-01-23,FUND_A,US46625H1005,83.16,5.2885
2025-01-24,FUND_A,US46625H1005,40.54,2.348
2025-01-27,FUND_A,US46625H1005,75.59,4.6986
2025-01-28,FUND_A,US46625H1005,-54.48,-3.3273
2025-01-29,FUND_A,US46625H1005,-82.55,-4.6487
2025-01-30,FUND_A,US46625H1005,29.04,1.7237
2025-01-31,FUND_A,US46625H1005,-32.41,-1.9379
2025-02-03,FUND_A,US46625H1005,35.35,2.1881
2025-02-04,FUND_A,US46625H1005,-42.46,-2.5903
2025-02-05,FUND_A,US46625H1005,-23.69,-1.4336
2025-02-06,FUND_A,US46625H1005,17.23,1.0909
2025-02-07,FUND_A,US46625H1005,-2.99,-0.1844
2025-02-10,FUND_A,US46625H1005,-0.6,-0.0342
2025-02-11,FUND_A,US46625H1005,-33.27,-1.9342
2025-02-12,FUND_A,US46625H1005,83.22,4.7842
2025-02-13,FUND_A,US46625H1005,-0.56,-0.0345
2025-02-14,FUND_A,US46625H1005,-36.31,-1.975
2025-02-17,FUND_A,US46625H1005,14.13,0.9068
2025-02-18,FUND_A,US46625H1005,-63.47,-3.5315
2025-02-19,FUND_A,US46625H1005,27.64,1.6859
2025-02-20,FUND_A,US46625H1005,95.79,5.8505
2025-02-21,FUND_A,US46625H1005,-4.69,-0.2769
2025-02-24,FUND_A,US46625H1005,-67.25,-3.9449
2025-02-25,FUND_A,US46625H1005,-81.86,-5.0342
2025-02-26,FUND_A,US46625H1005,-16.17,-0.9581
2025-02-27,FUND_A,US46625H1005,-69.11,-4.0892
2025-02-28,FUND_A,US46625H1005,-75.18,-4.8507
2025-03-03,FUND_A,US46625H1005,4.76,0.269
2025-03-04,FUND_A,US46625H1005,-39.83,-2.2804
2025-03-05,FUND_A,US46625H1005,28.05,1.6916
2025-03-06,FUND_A,US46625H1005,3.65,0.2364
2025-03-07,FUND_A,US46625H1005,-27.96,-1.7252
2025-03-10,FUND_A,US46625H1005,73.98,4.2791
2025-03-11,FUND_A,US46625H1005,60.46,3.5771
2025-03-12,FUND_A,US46625H1005,-15.06,-0.9243
2025-03-13,FUND_A,US46625H1005,-52.16,-3.3517
2025-03-14,FUND_A,US46625H1005,56.09,3.3958
2025-03-17,FUND_A,US46625H1005,75.73,4.745
2025-03-18,FUND_A,US46625H1005,-25.5,-1.4405
2025-03-19,FUND_A,US46625H1005,-28.25,-1.7777
2025-03-20,FUND_A,US46625H1005,96.84,6.0872
2025-03-21,FUND_A,US46625H1005,106.45,6.1763
2025-03-24,FUND_A,US46625H1005,-5.48,-0.3069
2025-03-25,FUND_A,US46625H1005,-29.63,-1.7443
2025-03-26,FUND_A,US46625H1005,21.98,1.3934
2025-03-27,FUND_A,US46625H1005,-30.52,-1.875
2025-03-28,FUND_A,US46625H1005,7.67,0.463
2025-03-31,FUND_A,US46625H1005,44.48,2.9158
2025-01-02,FUND_A,FR0000131104,47.76,2.224
2025-01-03,FUND_A,FR0000131104,54.97,2.9997
2025-01-06,FUND_A,FR0000131104,-75.44,-3.9713
2025-01-07,FUND_A,FR0000131104,-129.79,-6.7652
2025-01-08,FUND_A,FR0000131104,73.32,3.546
2025-01-09,FUND_A,FR0000131104,19.69,1.0824
2025-01-10,FUND_A,FR0000131104,41.05,2.0262
2025-01-13,FUND_A,FR0000131104,-11.55,-0.5911
2025-01-14,FUND_A,FR0000131104,77.38,3.706
2025-01-15,FUND_A,FR0000131104,45.35,2.2211
2025-01-16,FUND_A,FR0000131104,-37.63,-1.8501
2025-01-17,FUND_A,FR0000131104,65.35,3.0907
2025-01-20,FUND_A,FR0000131104,-125.01,-6.4405
2025-01-21,FUND_A,FR0000131104,-125.75,-5.8325
2025-01-22,FUND_A,FR0000131104,16.55,0.8414
2025-01-23,FUND_A,FR0000131104,52.39,2.6586
2025-01-24,FUND_A,FR0000131104,-43.75,-2.2774
2025-01-27,FUND_A,FR0000131104,11.46,0.5292
2025-01-28,FUND_A,FR0000131104,20.69,1.0675
2025-01-29,FUND_A,FR0000131104,4.36,0.2065
2025-01-30,FUND_A,FR0000131104,66.45,3.619
2025-01-31,FUND_A,FR0000131104,53.42,2.6738
2025-02-03,FUND_A,FR0000131104,5.19,0.2449
2025-02-04,FUND_A,FR0000131104,-54.24,-2.5365
2025-02-05,FUND_A,FR0000131104,2.0,0.1026
2025-02-06,FUND_A,FR0000131104,-7.95,-0.3754
2025-02-07,FUND_A,FR0000131104,-77.5,-3.8744
2025-02-10,FUND_A,FR0000131104,-83.19,-4.2233
2025-02-11,FUND_A,FR0000131104,-17.51,-0.9293
2025-02-12,FUND_A,FR0000131104,-53.79,-2.6378
2025-02-13,FUND_A,FR0000131104,-30.88,-1.5581
2025-02-14,FUND_A,FR0000131104,40.26,2.0548
2025-02-17,FUND_A,FR0000131104,69.04,3.6781
2025-02-18,FUND_A,FR0000131104,15.56,0.8043
2025-02-19,FUND_A,FR0000131104,4.79,0.2369
2025-02-20,FUND_A,FR0000131104,-23.79,-1.2379
2025-02-21,FUND_A,FR0000131104,36.27,1.8749
2025-02-24,FUND_A,FR0000131104,1.22,0.0664
2025-02-25,FUND_A,FR0000131104,-35.23,-1.767
2025-02-26,FUND_A,FR0000131104,-85.84,-4.0116
2025-02-27,FUND_A,FR0000131104,34.56,1.7908
2025-02-28,FUND_A,FR0000131104,-94.36,-4.7375
2025-03-03,FUND_A,FR0000131104,53.65,2.4576
2025-03-04,FUND_A,FR0000131104,27.3,1.4398
2025-03-05,FUND_A,FR0000131104,24.74,1.1741
2025-03-06,FUND_A,FR0000131104,-9.12,-0.4481
2025-03-07,FUND_A,FR0000131104,56.47,2.7548
2025-03-10,FUND_A,FR0000131104,-37.11,-1.776
2025-03-11,FUND_A,FR0000131104,-14.61,-0.7056
2025-03-12,FUND_A,FR0000131104,-87.0,-4.4328
2025-03-13,FUND_A,FR0000131104,-33.82,-1.6098
2025-03-14,FUND_A,FR0000131104,-63.34,-3.0119
2025-03-17,FUND_A,FR0000131104,-90.25,-4.6403
2025-03-18,FUND_A,FR0000131104,78.74,3.6821
2025-03-19,FUND_A,FR0000131104,44.23,2.346
2025-03-20,FUND_A,FR0000131104,-17.7,-0.8822
2025-03-21,FUND_A,FR0000131104,-110.63,-5.3448
2025-03-24,FUND_A,FR0000131104,14.98,0.712
2025-03-25,FUND_A,FR0000131104,20.67,1.1006
2025-03-26,FUND_A,FR0000131104,4.99,0.2445
2025-03-27,FUND_A,FR0000131104,-86.4,-4.0808
2025-03-28,FUND_A,FR0000131104,60.77,3.1369
2025-03-31,FUND_A,FR0000131104,105.1,5.4921
2025-01-02,FUND_A,CH0012221716,-17.1,-0.6689
2025-01-03,FUND_A,CH0012221716,-81.12,-3.2859
2025-01-06,FUND_A,CH0012221716,5.46,0.2358
2025-01-07,FUND_A,CH0012221716,-82.28,-3.4662
2025-01-08,FUND_A,CH0012221716,-10.6,-0.4527
2025-01-09,FUND_A,CH0012221716,16.68,0.6412
2025-01-10,FUND_A,CH0012221716,-46.1,-1.9407
2025-01-13,FUND_A,CH0012221716,70.27,2.8317
2025-01-14,FUND_A,CH0012221716,14.34,0.5375
2025-01-15,FUND_A,CH0012221716,34.92,1.2402
2025-01-16,FUND_A,CH0012221716,53.84,2.188
2025-01-17,FUND_A,CH0012221716,45.19,1.7652
2025-01-20,FUND_A,CH0012221716,95.06,4.0871
2025-01-21,FUND_A,CH0012221716,-20.22,-0.8665
2025-01-22,FUND_A,CH0012221716,58.17,2.3681
2025-01-23,FUND_A,CH0012221716,4.59,0.2067
2025-01-24,FUND_A,CH0012221716,-11.21,-0.4428
2025-01-27,FUND_A,CH0012221716,-24.67,-0.9091
2025-01-28,FUND_A,CH0012221716,12.22,0.4893
2025-01-29,FUND_A,CH0012221716,-42.22,-1.5607
2025-01-30,FUND_A,CH0012221716,-99.92,-4.3496
2025-01-31,FUND_A,CH0012221716,36.79,1.6256
2025-02-03,FUND_A,CH0012221716,17.26,0.7615
2025-02-04,FUND_A,CH0012221716,-17.43,-0.7151
2025-02-05,FUND_A,CH0012221716,50.23,2.118
2025-02-06,FUND_A,CH0012221716,-111.69,-4.2844
2025-02-07,FUND_A,CH0012221716,54.67,2.0183
2025-02-10,FUND_A,CH0012221716,-87.87,-3.7295
2025-02-11,FUND_A,CH0012221716,-36.35,-1.3724
2025-02-12,FUND_A,CH0012221716,37.22,1.3439
2025-02-13,FUND_A,CH0012221716,57.84,2.3967
2025-02-14,FUND_A,CH0012221716,17.04,0.6639
2025-02-17,FUND_A,CH0012221716,-11.04,-0.4282
2025-02-18,FUND_A,CH0012221716,33.52,1.4321
2025-02-19,FUND_A,CH0012221716,116.11,4.2636
2025-02-20,FUND_A,CH0012221716,-42.92,-1.7889
2025-02-21,FUND_A,CH0012221716,18.4,0.7324
2025-02-24,FUND_A,CH0012221716,-46.75,-1.8927
2025-02-25,FUND_A,CH0012221716,45.2,1.6558
2025-02-26,FUND_A,CH0012221716,44.41,1.635
2025-02-27,FUND_A,CH0012221716,50.38,2.0875
2025-02-28,FUND_A,CH0012221716,24.6,0.9603
2025-03-03,FUND_A,CH0012221716,-41.12,-1.6704
2025-03-04,FUND_A,CH0012221716,-32.52,-1.3771
2025-03-05,FUND_A,CH0012221716,-27.04,-1.22
2025-03-06,FUND_A,CH0012221716,46.04,1.8471
2025-03-07,FUND_A,CH0012221716,7.58,0.3157
2025-03-10,FUND_A,CH0012221716,-13.99,-0.5133
2025-03-11,FUND_A,CH0012221716,32.18,1.4447
2025-03-12,FUND_A,CH0012221716,-75.82,-2.6844
2025-03-13,FUND_A,CH0012221716,-88.13,-3.7271
2025-03-14,FUND_A,CH0012221716,-27.4,-1.0078
2025-03-17,FUND_A,CH0012221716,118.84,4.7728
2025-03-18,FUND_A,CH0012221716,13.91,0.5583
2025-03-19,FUND_A,CH0012221716,-14.62,-0.5704
2025-03-20,FUND_A,CH0012221716,58.81,2.2768
2025-03-21,FUND_A,CH0012221716,-128.72,-5.1452
2025-03-24,FUND_A,CH0012221716,-9.95,-0.3586
2025-03-25,FUND_A,CH0012221716,10.15,0.451
2025-03-26,FUND_A,CH0012221716,72.41,2.8473
2025-03-27,FUND_A,CH0012221716,41.38,1.8442
2025-03-28,FUND_A,CH0012221716,-2.18,-0.0968
2025-03-31,FUND_A,CH0012221716,-21.5,-0.8095
2025-01-02,FUND_A,GB0009252882,-28.74,-1.3835
2025-01-03,FUND_A,GB0009252882,-58.46,-2.8812
2025-01-06,FUND_A,GB0009252882,-26.26,-1.1894
2025-01-07,FUND_A,GB0009252882,-13.27,-0.5955
2025-01-08,FUND_A,GB0009252882,-5.8,-0.2566
2025-01-09,FUND_A,GB0009252882,38.27,1.8764
2025-01-10,FUND_A,GB0009252882,123.11,5.0413
2025-01-13,FUND_A,GB0009252882,21.67,0.9125
2025-01-14,FUND_A,GB0009252882,45.86,1.9531
2025-01-15,FUND_A,GB0009252882,45.89,2.1736
2025-01-16,FUND_A,GB0009252882,-3.12,-0.1311
2025-01-17,FUND_A,GB0009252882,-55.85,-2.5098
2025-01-20,FUND_A,GB0009252882,-30.59,-1.2589
2025-01-21,FUND_A,GB0009252882,86.17,4.2701
2025-01-22,FUND_A,GB0009252882,1.74,0.0867
2025-01-23,FUND_A,GB0009252882,-141.04,-5.737
2025-01-24,FUND_A,GB0009252882,-2.64,-0.1132
2025-01-27,FUND_A,GB0009252882,23.28,1.1
2025-01-28,FUND_A,GB0009252882,-3.44,-0.1615
2025-01-29,FUND_A,GB0009252882,-46.62,-2.2329
2025-01-30,FUND_A,GB0009252882,-28.86,-1.3291
2025-01-31,FUND_A,GB0009252882,90.33,3.771
2025-02-03,FUND_A,GB0009252882,98.76,4.8519
2025-02-04,FUND_A,GB0009252882,59.58,2.543
2025-02-05,FUND_A,GB0009252882,38.33,1.7133
2025-02-06,FUND_A,GB0009252882,8.53,0.3673
2025-02-07,FUND_A,GB0009252882,77.8,3.6766
2025-02-10,FUND_A,GB0009252882,30.46,1.4707
2025-02-11,FUND_A,GB0009252882,113.85,4.866
2025-02-12,FUND_A,GB0009252882,-37.09,-1.8602
2025-02-13,FUND_A,GB0009252882,15.68,0.6586
2025-02-14,FUND_A,GB0009252882,10.09,0.4886
2025-02-17,FUND_A,GB0009252882,-30.64,-1.4731
2025-02-18,FUND_A,GB0009252882,-3.37,-0.1639
2025-02-19,FUND_A,GB0009252882,-45.22,-1.8765
2025-02-20,FUND_A,GB0009252882,24.97,1.2019
2025-02-21,FUND_A,GB0009252882,-38.87,-1.7651
2025-02-24,FUND_A,GB0009252882,-52.0,-2.3658
2025-02-25,FUND_A,GB0009252882,-72.99,-3.0827
2025-02-26,FUND_A,GB0009252882,-121.3,-5.8652
2025-02-27,FUND_A,GB0009252882,-3.43,-0.1526
2025-02-28,FUND_A,GB0009252882,-42.28,-1.8416
2025-03-03,FUND_A,GB0009252882,-11.77,-0.481
2025-03-04,FUND_A,GB0009252882,-90.38,-3.8795
2025-03-05,FUND_A,GB0009252882,-14.02,-0.6625
2025-03-06,FUND_A,GB0009252882,-64.32,-2.8957
2025-03-07,FUND_A,GB0009252882,34.84,1.6892
2025-03-10,FUND_A,GB0009252882,40.92,1.949
2025-03-11,FUND_A,GB0009252882,20.04,0.8352
2025-03-12,FUND_A,GB0009252882,5.81,0.2759
2025-03-13,FUND_A,GB0009252882,-53.8,-2.3326
2025-03-14,FUND_A,GB0009252882,39.8,1.8218
2025-03-17,FUND_A,GB0009252882,98.86,4.3142
2025-03-18,FUND_A,GB0009252882,16.47,0.7035
2025-03-19,FUND_A,GB0009252882,3.1,0.1383
2025-03-20,FUND_A,GB0009252882,35.98,1.6394
2025-03-21,FUND_A,GB0009252882,14.81,0.6584
2025-03-24,FUND_A,GB0009252882,47.51,1.931
2025-03-25,FUND_A,GB0009252882,15.43,0.6828
2025-03-26,FUND_A,GB0009252882,-15.53,-0.719
2025-03-27,FUND_A,GB0009252882,135.02,6.2147
2025-03-28,FUND_A,GB0009252882,-2.43,-0.1102
2025-03-31,FUND_A,GB0009252882,78.7,3.4284
2025-01-02,FUND_A,JP3633400001,-27.12,-1.3228
2025-01-03,FUND_A,JP3633400001,92.62,4.5781
2025-01-06,FUND_A,JP3633400001,41.58,2.1533
2025-01-07,FUND_A,JP3633400001,36.23,2.018
2025-01-08,FUND_A,JP3633400001,32.06,1.5114
2025-01-09,FUND_A,JP3633400001,39.91,1.94
2025-01-10,FUND_A,JP3633400001,-4.29,-0.2339
2025-01-13,FUND_A,JP3633400001,65.71,3.4613
2025-01-14,FUND_A,JP3633400001,13.22,0.6442
2025-01-15,FUND_A,JP3633400001,-4.9,-0.2686
2025-01-16,FUND_A,JP3633400001,9.48,0.4543
2025-01-17,FUND_A,JP3633400001,81.6,4.2322
2025-01-20,FUND_A,JP3633400001,29.79,1.5489
2025-01-21,FUND_A,JP3633400001,-50.5,-2.8308
2025-01-22,FUND_A,JP3633400001,-33.16,-1.7168
2025-01-23,FUND_A,JP3633400001,40.69,2.0996
2025-01-24,FUND_A,JP3633400001,-52.84,-2.652
2025-01-27,FUND_A,JP3633400001,52.66,2.7664
2025-01-28,FUND_A,JP3633400001,2.33,0.1225
2025-01-29,FUND_A,JP3633400001,-12.3,-0.6522
2025-01-30,FUND_A,JP3633400001,19.08,1.0095
2025-01-31,FUND_A,JP3633400001,38.01,1.9292
2025-02-03,FUND_A,JP3633400001,-73.63,-3.6045
2025-02-04,FUND_A,JP3633400001,-69.78,-3.3634
2025-02-05,FUND_A,JP3633400001,2.09,0.111
2025-02-06,FUND_A,JP3633400001,0.99,0.0535
2025-02-07,FUND_A,JP3633400001,48.43,2.5348
2025-02-10,FUND_A,JP3633400001,42.14,2.2268
2025-02-11,FUND_A,JP3633400001,-57.49,-2.9517
2025-02-12,FUND_A,JP3633400001,-150.37,-7.8218
2025-02-13,FUND_A,JP3633400001,-43.06,-2.0866
2025-02-14,FUND_A,JP3633400001,45.99,2.3221
2025-02-17,FUND_A,JP3633400001,72.98,3.6129
2025-02-18,FUND_A,JP3633400001,-71.99,-3.544
2025-02-19,FUND_A,JP3633400001,38.64,2.0939
2025-02-20,FUND_A,JP3633400001,-26.51,-1.3644
2025-02-21,FUND_A,JP3633400001,-25.75,-1.1959
2025-02-24,FUND_A,JP3633400001,-105.99,-4.8942
2025-02-25,FUND_A,JP3633400001,-6.53,-0.3486
2025-02-26,FUND_A,JP3633400001,44.34,2.2626
2025-02-27,FUND_A,JP3633400001,38.28,1.879
2025-02-28,FUND_A,JP3633400001,-17.92,-0.9158
2025-03-03,FUND_A,JP3633400001,-12.83,-0.661
2025-03-04,FUND_A,JP3633400001,24.77,1.2302
2025-03-05,FUND_A,JP3633400001,59.61,3.3057
2025-03-06,FUND_A,JP3633400001,-58.64,-2.6944
2025-03-07,FUND_A,JP3633400001,2.81,0.1413
2025-03-10,FUND_A,JP3633400001,64.78,3.1307
2025-03-11,FUND_A,JP3633400001,-10.4,-0.4895
2025-03-12,FUND_A,JP3633400001,3.77,0.1958
2025-03-13,FUND_A,JP3633400001,-0.95,-0.0505
2025-03-14,FUND_A,JP3633400001,-24.1,-1.2606
2025-03-17,FUND_A,JP3633400001,-72.99,-3.3114
2025-03-18,FUND_A,JP3633400001,65.64,3.5499
2025-03-19,FUND_A,JP3633400001,-20.57,-0.979
2025-03-20,FUND_A,JP3633400001,99.95,4.7529
2025-03-21,FUND_A,JP3633400001,76.46,3.9573
2025-03-24,FUND_A,JP3633400001,-54.02,-2.6559
2025-03-25,FUND_A,JP3633400001,-123.44,-5.7781
2025-03-26,FUND_A,JP3633400001,62.1,3.1456
2025-03-27,FUND_A,JP3633400001,-86.67,-4.1516
2025-03-28,FUND_A,JP3633400001,181.51,9.506
2025-03-31,FUND_A,JP3633400001,-58.64,-3.2292
2025-01-02,FUND_A,AU000000BHP4,-45.47,-1.7477
2025-01-03,FUND_A,AU000000BHP4,19.63,0.6556
2025-01-06,FUND_A,AU000000BHP4,-20.5,-0.6573
2025-01-07,FUND_A,AU000000BHP4,-23.59,-0.8134
2025-01-08,FUND_A,AU000000BHP4,100.94,3.4783
2025-01-09,FUND_A,AU000000BHP4,124.34,3.9658
2025-01-10,FUND_A,AU000000BHP4,56.73,1.8734
2025-01-13,FUND_A,AU000000BHP4,-66.72,-2.4559
2025-01-14,FUND_A,AU000000BHP4,19.94,0.6617
2025-01-15,FUND_A,AU000000BHP4,25.3,0.9838
2025-01-16,FUND_A,AU000000BHP4,-0.62,-0.0193
2025-01-17,FUND_A,AU000000BHP4,76.62,3.0092
2025-01-20,FUND_A,AU000000BHP4,9.6,0.2938
2025-01-21,FUND_A,AU000000BHP4,-79.46,-2.5477
2025-01-22,FUND_A,AU000000BHP4,-89.27,-2.9845
2025-01-23,FUND_A,AU000000BHP4,44.04,1.3948
2025-01-24,FUND_A,AU000000BHP4,116.28,4.4735
2025-01-27,FUND_A,AU000000BHP4,-43.24,-1.4664
2025-01-28,FUND_A,AU000000BHP4,-65.99,-2.071
2025-01-29,FUND_A,AU000000BHP4,106.72,3.3669
2025-01-30,FUND_A,AU000000BHP4,13.2,0.4571
2025-01-31,FUND_A,AU000000BHP4,17.75,0.6618
2025-02-03,FUND_A,AU000000BHP4,87.29,2.7034
2025-02-04,FUND_A,AU000000BHP4,9.59,0.3503
2025-02-05,FUND_A,AU000000BHP4,-0.4,-0.0155
2025-02-06,FUND_A,AU000000BHP4,-128.13,-4.7904
2025-02-07,FUND_A,AU000000BHP4,60.57,1.9669
2025-02-10,FUND_A,AU000000BHP4,-26.29,-1.0195
